"cluster_label","cluster_color","cluster_order","subclass_label","subclass_color","subclass_order","class_label","class_color","class_order"
"L5 ET_1","#67A8B2",90,"L5 ET","#0D5B78",15,"Neuronal: Glutamatergic","#00ADF8",2
"L5 ET_2","#0D5B78",91,"L5 ET","#0D5B78",15,"Neuronal: Glutamatergic","#00ADF8",2
"L6 CT_1","#81CDE7",92,"L6 CT","#2D8CB8",16,"Neuronal: Glutamatergic","#00ADF8",2
"L6 CT_2","#5FA3BC",93,"L6 CT","#2D8CB8",16,"Neuronal: Glutamatergic","#00ADF8",2
"L6 CT_3","#3D7A91",94,"L6 CT","#2D8CB8",16,"Neuronal: Glutamatergic","#00ADF8",2
"L6 CT_4","#1B5166",95,"L6 CT","#2D8CB8",16,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_1","#C7AFD4",96,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_2","#AA93BB",97,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_3","#8E77A3",98,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_4","#715B8B",99,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_5","#553F73",100,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6b_6","#39245B",101,"L6b","#7044AA",17,"Neuronal: Glutamatergic","#00ADF8",2
"L6 IT Car3_1","#874FFF",102,"L6 IT Car3","#5100FF",14,"Neuronal: Glutamatergic","#00ADF8",2
"L6 IT Car3_2","#631AFF",103,"L6 IT Car3","#5100FF",14,"Neuronal: Glutamatergic","#00ADF8",2
"L6 IT Car3_3","#23068C",104,"L6 IT Car3","#5100FF",14,"Neuronal: Glutamatergic","#00ADF8",2
"L5/6 NP_1","#9FD4AE",105,"L5/6 NP","#3E9E64",18,"Neuronal: Glutamatergic","#00ADF8",2
"L5/6 NP_2","#86BA96",106,"L5/6 NP","#3E9E64",18,"Neuronal: Glutamatergic","#00ADF8",2
"L5/6 NP_3","#6DA17E",107,"L5/6 NP","#3E9E64",18,"Neuronal: Glutamatergic","#00ADF8",2
"L5/6 NP_6","#225637",108,"L5/6 NP","#3E9E64",18,"Neuronal: Glutamatergic","#00ADF8",2
"L5/6 NP_4","#538866",109,"L5/6 NP","#3E9E64",18,"Neuronal: Glutamatergic","#00ADF8",2
"Astro_1","#D1C9BA",110,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"Astro_2","#AAA395",111,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"Astro_6-SEAAD","#998A6B",112,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"Astro_5","#383228",113,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"Astro_3","#847D71",114,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"Astro_4","#5E574C",115,"Astrocyte","#665C47",19,"Non-neuronal and Non-neural","#808080",3
"OPC_1","#75827F",116,"OPC","#374A45",20,"Non-neuronal and Non-neural","#808080",3
"OPC_2","#263430",117,"OPC","#374A45",20,"Non-neuronal and Non-neural","#808080",3
"OPC_2_1-SEAAD","#4B675F",118,"OPC","#374A45",20,"Non-neuronal and Non-neural","#808080",3
"OPC_2_2-SEAAD","#719A8E",119,"OPC","#374A45",20,"Non-neuronal and Non-neural","#808080",3
"Oligo_1","#B2CEC5",120,"Oligodendrocyte","#53776C",21,"Non-neuronal and Non-neural","#808080",3
"Oligo_2","#799B8E",121,"Oligodendrocyte","#53776C",21,"Non-neuronal and Non-neural","#808080",3
"Oligo_2_1-SEAAD","#5A9B82",122,"Oligodendrocyte","#53776C",21,"Non-neuronal and Non-neural","#808080",3
"Oligo_4","#32443D",123,"Oligodendrocyte","#53776C",21,"Non-neuronal and Non-neural","#808080",3
"Oligo_3","#4A6B61",124,"Oligodendrocyte","#53776C",21,"Non-neuronal and Non-neural","#808080",3
"Endo_1","#D8BFB8",125,"Endothelial","#8D6C62",22,"Non-neuronal and Non-neural","#808080",3
"Endo_2","#B09A93",126,"Endothelial","#8D6C62",22,"Non-neuronal and Non-neural","#808080",3
"Endo_3","#6D615E",127,"Endothelial","#8D6C62",22,"Non-neuronal and Non-neural","#808080",3
"VLMC_1","#979E8A",128,"VLMC","#697255",23,"Non-neuronal and Non-neural","#808080",3
"VLMC_2_1-SEAAD","#798362",129,"VLMC","#697255",23,"Non-neuronal and Non-neural","#808080",3
"VLMC_2","#4A503C",130,"VLMC","#697255",23,"Non-neuronal and Non-neural","#808080",3
"VLMC_2_2-SEAAD","#A8B688",131,"VLMC","#697255",23,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_1_1-SEAAD","#A2E2A5",132,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_1","#CFE2D0",133,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_2_1-SEAAD","#71AF78",134,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_2","#94AF97",135,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_2_3-SEAAD","#2BAF3A",136,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_3-SEAAD","#7F9381",137,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_4-SEAAD","#ABC6AD",138,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
"Micro-PVM_2_2-SEAAD","#4EAF59",139,"Microglia-PVM","#94AF97",24,"Non-neuronal and Non-neural","#808080",3
